ASA [m^2/cm^3],CellV [A^3],Df,Di,Dif,NASA [m^2/cm^3],POAV [cm^3/g],POAVF,PONAV [cm^3/g],PONAVF,density [g/cm^3],MOFname,total_SA_volumetric,total_SA_gravimetric,total_POV_volumetric,total_POV_gravimetric,mc_CRY-chi-0-all,mc_CRY-chi-1-all,pure_uptake_CO2_298.00_1600000
0,878.884,3.37,4.71855,4.71855,516.355,0,0,0.205652,0.22676,1.10264,00958972.2016.1250260_1436516_clean,516.355,468.289741,0.22676,0.205652,3.61,11.552,
0,1320.38,2.4972,4.45543,4.40653,158.361,0,0,0.0847512,0.12924,1.52493,ABAVIJ_clean,158.361,103.8480455,0.12924,0.0847512,3.5344,37.2992,
1241.53,19186.4,4.3226,11.39486,11.33724,216.42,0.430017,0.40814,0.106519,0.1011,0.949126,ABAYIO_clean,1457.95,1536.09742,0.50924,0.536536,2.4025,26.226,
1283.55,18921,4.5108,11.27344,11.27344,224.215,0.419845,0.41114,0.104997,0.10282,0.979267,ABAYOU_clean,1507.765,1539.687338,0.51396,0.524842,3.5344,31.8096,
0,2329.31,3.32948,4.93969,4.93889,209.511,0,0,0.0903759,0.14018,1.55108,ABEFUL_clean,209.511,135.0742708,0.14018,0.0903759,1.21,30.272,
1302.57,2786.16,4.42585,5.87931,5.57015,0,0.113724,0.42566,0,0,3.74291,ABESUX_clean,1302.57,348.0099709,0.42566,0.113724,1.9044,28.25136,
2163.58,20019,7.83744,9.47418,9.45292,0,1.07472,0.64186,0,0,0.597233,ABETIN_clean,2163.58,3622.673228,0.64186,1.07472,3.61,23.104,
641.266,2633.04,4.14331,4.82084,4.80387,0,0.136436,0.24024,0,0,1.76082,ABEXEM_clean,641.266,364.1860042,0.24024,0.136436,1.21,27.5,
1603.8,15518,13.71867,18.8079,18.7996,0.888134,0.957188,0.6455,0,0,0.674371,ABEXEN_clean,1604.688134,2379.533126,0.6455,0.957188,3.1684,48.9856,
600.107,2602.59,4.06893,4.80529,4.80529,0,0.133609,0.23884,0,0,1.7876,ABEXIQ_clean,600.107,335.7054151,0.23884,0.133609,1.2544,28,
600.042,2572.73,4.04921,4.7727,4.7549,0,0.125864,0.22812,0,0,1.81243,ABEXOW_clean,600.042,331.0704413,0.22812,0.125864,1.2769,28.25,
539.969,2546.99,4.0168,4.74458,4.72731,0,0.123162,0.22762,0,0,1.84813,ABEXUC_clean,539.969,292.1704642,0.22762,0.123162,1.2996,28.5,
532.243,2511.78,3.9715,4.73097,4.71386,0,0.117876,0.22472,0,0,1.90641,ABEYAJ_clean,532.243,279.1860093,0.22472,0.117876,1.3689,29.25,
498.734,2493.02,3.94356,4.70447,4.68752,0,0.113502,0.21898,0,0,1.9293,ABEYEN_clean,498.734,258.5051573,0.21898,0.113502,1.44,30,
464.617,2477.63,3.92184,4.69665,4.69665,0,0.108528,0.21376,0,0,1.96962,ABEYIR_clean,464.617,235.8916948,0.21376,0.108528,1.44,30,
1428.12,2085.14,4.0515,6.22728,6.20206,0,0.231206,0.44334,0,0,1.91751,ABIXOZ_clean,1428.12,744.7783845,0.44334,0.231206,4.43936,36.61994667,
807.382,1746.89,4.16445,4.86958,4.86236,0,0.283185,0.37358,0,0,1.31921,ABULOB_clean,807.382,612.0193146,0.37358,0.283185,2.4649,21.6032,
1037.94,4518.16,4.03039,5.07969,4.98773,0,0.341993,0.39614,0,0,1.15833,ABUWOJ_clean,1037.94,896.065888,0.39614,0.341993,2.7225,22.704,
1083.29,3258.86,8.27985,8.50423,8.50423,0,0.327807,0.36738,0,0,1.12072,ac403674p_si_001_clean,1083.29,966.6018274,0.36738,0.327807,2.7225,26.268,
0,5518.65,3.4178,4.94767,4.77873,325.022,0,0,0.209799,0.2295,1.0939,ACAJIY_clean,325.022,297.1222232,0.2295,0.209799,2.7225,30.096,
844.024,2916.84,5.74044,6.18649,6.18649,0,0.206243,0.26842,0,0,1.30148,ACAJIZ_clean,844.024,648.510926,0.26842,0.206243,3.61,31.92,
0,2087.56,2.41854,3.96462,3.93898,26.1134,0,0,0.0204625,0.03656,1.78668,ACALIB_clean,26.1134,14.61559988,0.03656,0.0204625,1.5376,24.49,
1769.18,3779.19,7.03071,8.25776,8.25776,0,0.490508,0.54002,0,0,1.10094,ACIBOE_clean,1769.18,1606.972224,0.54002,0.490508,2.7225,24.596,
1545.85,101117,0,0,0,0,2.38535,0.8347,0,0,0.349927,ACOCOM_clean,1545.85,4417.635678,0.8347,2.38535,3.61,26.144,
1540.74,102044,0,0,0,0,2.4314,0.83432,0,0,0.343144,ACODAZ_clean,1540.74,4490.06831,0.83432,2.4314,3.5344,25.8688,
1447.37,3402.63,4.65537,7.1439,7.12384,0,0.407227,0.468,0,0,1.14924,ACODON_clean,1447.37,1259.414918,0.468,0.407227,1.21,35.882,
0,2328.35,3.37779,5.4607,5.4607,213.127,0,0,0.0955806,0.1452,1.51914,ACODUT_clean,213.127,140.2945087,0.1452,0.0955806,1.21,22.704,
942.065,2660.54,3.89327,5.20085,4.84433,0,0.299694,0.34602,0,0,1.15458,ACOGAB_clean,942.065,815.9373971,0.34602,0.299694,2.8561,30.5552,
985.468,2686.72,3.94888,5.20115,4.84777,0,0.269706,0.3397,0,0,1.25952,ACOGEF_clean,985.468,782.4155234,0.3397,0.269706,2.8561,29.5412,
0,5939.98,2.78217,4.00255,3.89811,10.4834,0,0,0.00729991,0.01062,1.45481,ACOLEL_clean,10.4834,7.206026904,0.01062,0.00729991,2.4025,30.752,
0,1527.86,3.57647,4.91034,4.78103,502.151,0,0,0.275582,0.28922,1.04949,ACOLIP_clean,502.151,478.471448,0.28922,0.275582,2.7225,21.384,
1952.08,10047.8,5.53552,8.42183,8.41851,0,0.650814,0.56192,0,0,0.863411,ACOLOV_clean,1952.08,2260.893132,0.56192,0.650814,2.8561,23.2544,
1969.77,9225.87,7.20033,10.01475,10.00686,75.9808,1.13727,0.62204,0.0693653,0.03794,0.546959,acsami.6b11116_am6b11116_si_002_clean,2045.7508,3740.226964,0.65998,1.2066353,2.7556,28.552,
0,2246.78,3.53433,5.69658,5.69658,1060.77,0,0,0.424323,0.41998,0.989764,acs.cgd.5b01178_MAHFOT1419063_clean,1060.77,1071.740334,0.41998,0.424323,3.61,18.848,
0,1796.2,3.11916,4.33665,4.32149,205.72,0,0,0.179029,0.2222,1.24114,acs.cgd.5b01178_MAHFUZ1419064_clean,205.72,165.750842,0.2222,0.179029,2.7225,16.368,
2634.56,5889.08,4.44764,5.7566,5.74856,0,0.582839,0.58332,0,0,1.00083,acs.cgd.5b01632_ZAHKOL1438120_clean,2634.56,2632.375129,0.58332,0.582839,3.61,25.13066667,
0,4159.34,3.10567,4.14187,4.13974,50.5067,0,0,0.0535414,0.06718,1.25473,j.ica.2016.03.015_0cudmmal4pnafinal_clean,50.5067,40.25304249,0.06718,0.0535414,3.61,24.624,
1323.15,6787.7,7.02117,7.92311,7.40406,0,0.386739,0.40304,0,0,1.04215,j.ica.2016.05.002_2_clean,1323.15,1269.634889,0.40304,0.386739,2.7225,18.04,
0,1863.12,2.66911,6.84733,6.84733,946.351,0,0,0.325126,0.33846,1.04101,j.ica.2016.05.002_6_clean,946.351,909.0700378,0.33846,0.325126,3.61,23.864,
520.764,1611.5,4.55019,5.31461,5.31461,0,0.151189,0.19556,0,0,1.29348,j.ica.2016.06.009_dd014_1_0m_clean,520.764,402.6069209,0.19556,0.151189,3.61,31.92,
492.786,19272.1,6.94874,8.62272,8.54042,0,0.0875577,0.14964,0,0,1.70904,j.ica.2016.09.002_2_clean,492.786,288.3408229,0.14964,0.0875577,1.4884,33.5744,
878.027,1085.17,6.05262,6.31745,6.3123,0,0.193488,0.28606,0,0,1.47844,j.ica.2016.09.043_Compound2_clean,878.027,593.887476,0.28606,0.193488,2.7225,24.882,
0,4184.14,3.40564,4.48328,4.05023,181.067,0,0,0.128136,0.13448,1.04951,j.ica.2016.10.007_1-IV-523_sq-fin_clean,181.067,172.5252737,0.13448,0.128136,2.7225,20.064,
770.359,1487.96,4.13919,5.68547,5.68547,0,0.238827,0.26938,0,0,1.12793,j.ica.2016.10.007_4-IV-410_clean,770.359,682.9847597,0.26938,0.238827,3.5344,24.3648,
0,3263.98,3.54646,8.24655,8.24655,1018.12,0,0,0.270902,0.40338,1.48902,JILWIL_clean,1018.12,683.7517293,0.40338,0.270902,2.5921,22.1536,
0,6757.27,3.63188,10.37997,10.37997,994.557,0,0,0.267113,0.38424,1.43849,JILWOR_clean,994.557,691.3895821,0.38424,0.267113,2.5921,22.1536,
307.16,3292.77,4.05314,4.50507,4.50325,0,0.0945497,0.1489,0,0,1.57483,JILXOS_clean,307.16,195.0432745,0.1489,0.0945497,3.61,19.665,
1366.32,1896.54,6.22027,7.51086,7.50991,0,0.468313,0.42086,0,0,0.898673,j.inoche.2014.12.004_inc05822-mmc1_clean,1366.32,1520.375042,0.42086,0.468313,3.6481,37.1304,
0,12676.3,2.96045,5.53363,4.3048,128.842,0,0,0.0329539,0.05044,1.53062,j.inoche.2014.12.007_INC05825-mmc2_clean,128.842,84.17634684,0.05044,0.0329539,2.8561,28.19885714,
1193.32,2426.68,3.897,4.92906,4.88525,0,0.309471,0.39564,0,0,1.27844,j.inoche.2015.01.025_INC05862-mmc2_clean,1193.32,933.4188542,0.39564,0.309471,2.7225,20.724,
0,1712.78,3.46915,5.70413,5.53584,787.531,0,0,0.207081,0.2733,1.31977,j.inoche.2015.02.023_INC05895-mmc1_clean,787.531,596.7183676,0.2733,0.207081,2.7225,26.488,
1024.5,3341.82,3.84312,5.32196,5.29977,0,0.284277,0.32476,0,0,1.14241,j.inoche.2015.03.015_inc05912-mmc1_clean,1024.5,896.7883684,0.32476,0.284277,3.5344,25.8688,
0,4977.69,3.10199,4.34289,4.32786,147.213,0,0,0.134395,0.14088,1.04826,j.inoche.2015.03.024_inc05921-mmc1_clean,147.213,140.435579,0.14088,0.134395,2.7225,15.048,
1728.94,2443.48,4.5721,5.98483,5.97294,0,0.540431,0.5109,0,0,0.945356,j.inoche.2015.03.028_inc05925-mmc2_clean,1728.94,1828.877164,0.5109,0.540431,3.61,31.92,
0,4392.09,3.55939,5.00891,4.98119,698.463,0,0,0.218037,0.2567,1.17732,j.inoche.2015.03.033_inc05930-mmc2_clean,698.463,593.2652125,0.2567,0.218037,3.3489,33.3792,
0,2370.55,2.41831,4.4171,4.41156,377.616,0,0,0.161076,0.18764,1.16491,j.inoche.2015.03.033_inc05930-mmc4_clean,377.616,324.1589479,0.18764,0.161076,3.6481,34.8384,
0,5012.01,2.71797,4.9133,4.44189,143.723,0,0,0.0714564,0.10396,1.45487,j.inoche.2015.05.017_inc05998-mmc2_clean,143.723,98.78752053,0.10396,0.0714564,3.61,31.92,
928.09,3934.4,7.71117,7.96043,7.96043,0,0.316382,0.3215,0,0,1.01618,j.inoche.2015.06.008_inc06013-mmc1_clean,928.09,913.3126021,0.3215,0.316382,2.4025,26.45333333,
0,3182.54,3.33225,4.53773,4.53773,207.114,0,0,0.0671494,0.13154,1.95892,j.inoche.2015.06.036_inc06102-mmc1_clean,207.114,105.7286668,0.13154,0.0671494,1.2544,34.6752,
