ASA [m^2/cm^3],CellV [A^3],Df,Di,Dif,NASA [m^2/cm^3],POAV [cm^3/g],POAVF,PONAV [cm^3/g],PONAVF,density [g/cm^3],MOFname,total_SA_volumetric,total_SA_gravimetric,total_POV_volumetric,total_POV_gravimetric,mc_CRY-chi-0-all,mc_CRY-chi-1-all,pure_uptake_CO2_298.00_1600000
0,3095.39,3.3179,4.4873,4.4873,207.468,0,0,0.0684591,0.1338,1.95445,j.inoche.2015.06.036_inc06102-mmc2_clean,207.468,106.1516028,0.1338,0.0684591,1.2996,31.3728,
0,3126.57,3.34598,4.50589,4.50589,229.629,0,0,0.0776967,0.14924,1.9208,j.inoche.2015.06.036_inc06102-mmc3_clean,229.629,119.5486256,0.14924,0.0776967,1.2769,31.0976,
410.805,1247.55,3.97457,4.47026,4.47026,16.8039,0.108682,0.18244,0.0129389,0.02172,1.67866,j.inoche.2015.07.018_compound2_clean,427.6089,254.7322865,0.20416,0.1216209,1.2996,38.2014,
1261.25,3719.28,4.1024,5.20253,5.19923,0.0588065,0.45513,0.40064,0,0,0.880276,j.inoche.2015.08.009_inc06079-mmc2_clean,1261.308807,1432.856066,0.40064,0.45513,2.8561,20.5504,
1155.76,3562.63,4.8221,5.88855,5.88855,0,0.372928,0.36222,0,0,0.971286,j.inoche.2015.08.009_inc06079-mmc5_clean,1155.76,1189.927581,0.36222,0.372928,2.8561,20.5504,
1564.68,2587.91,4.53541,6.46265,6.46076,0,0.433779,0.4461,0,0,1.0284,j.inoche.2015.12.019_1_clean,1564.68,1521.470245,0.4461,0.433779,2.7225,27.06,
731.738,4837.87,5.23213,6.46964,6.46178,0,0.18333,0.218,0,0,1.18911,j.inoche.2016.10.021_inc06458-mmc4_clean,731.738,615.3661142,0.218,0.18333,3.6481,31.324,
0,2365.53,3.31132,4.60365,4.19274,154.475,0,0,0.0925455,0.15536,1.67874,JIQVAH_clean,154.475,92.01841858,0.15536,0.0925455,3.388,26.84,
2235.99,1983.9,6.49522,8.23302,8.23302,0,0.722685,0.62334,0,0,0.862534,JISVAJ_clean,2235.99,2592.349983,0.62334,0.722685,1.44,31.956,
817.885,6688.83,4.85353,5.87095,5.87048,0,0.177115,0.2549,0,0,1.43918,JITPOS_SL,817.885,568.2993093,0.2549,0.177115,2.7225,27.72,
1472.64,966.699,5.27198,6.2294,6.22457,0,0.399899,0.4581,0,0,1.14554,JIVFUQ_clean,1472.64,1285.54219,0.4581,0.399899,2.7225,22.704,
308.715,1595.32,4.22522,4.65845,4.64209,0,0.0768823,0.14992,0,0,1.94999,JIVSEN_clean,308.715,158.3161965,0.14992,0.0768823,2.115933333,27.30526667,
562.108,1762.26,3.91959,4.91458,4.91458,0,0.163331,0.26774,0,0,1.63925,JIXWUJ01_clean,562.108,342.9055971,0.26774,0.163331,2.4025,31.992,
583.524,1770.12,3.96901,4.9428,4.93448,0,0.165776,0.27054,0,0,1.63196,JIXWUJ_clean,583.524,357.5602343,0.27054,0.165776,2.4025,31.992,
1029.33,3343.37,5.39005,6.59669,6.562,0,0.112038,0.30866,0,0,2.75496,JIYXUL_clean,1029.33,373.6279293,0.30866,0.112038,3.568345714,31.80132571,
1051.11,4653.81,9.92334,10.34811,10.34811,0,0.356324,0.38108,0,0,1.06947,JIZJEJ_clean,1051.11,982.832618,0.38108,0.356324,3.5344,33.9904,
1032.07,4637.18,9.86894,10.30863,10.26273,0,0.35561,0.38168,0,0,1.07331,JIZJUZ_clean,1032.07,961.5768045,0.38168,0.35561,3.5344,33.9904,
1060.58,1294.79,5.3907,5.73459,5.73388,0,0.345338,0.35974,0,0,1.0417,JIZWIA_clean,1060.58,1018.12422,0.35974,0.345338,2.5921,33.2304,
1169.64,2622.57,5.24857,5.77811,5.77811,0,0.36187,0.37222,0,0,1.0286,JIZWOG_clean,1169.64,1137.118413,0.37222,0.36187,2.5921,33.2304,
1168.13,1526.16,3.96658,5.08429,5.08059,0,0.429402,0.47206,0,0,1.09934,j.jlumin.2016.09.057_mmc2_clean,1168.13,1062.573908,0.47206,0.429402,1.21,22.704,
3116.28,2537.72,5.05824,6.47613,6.43511,0,0.836759,0.6998,0,0,0.836322,j.jssc.2014.06.006_934273-934279_compounds_clean,3116.28,3726.172455,0.6998,0.836759,2.8561,23.2544,
625.52,2870.89,4.00911,5.07304,4.98758,2.00807,0.209111,0.23094,0,0,1.10439,j.jssc.2014.12.012_111202b_0m_clean,627.52807,568.2123797,0.23094,0.209111,3.5344,37.2992,
583.305,4687.37,5.98045,7.05253,7.05253,0,0.14115,0.18594,0,0,1.31733,j.jssc.2014.12.022_1_clean,583.305,442.7933775,0.18594,0.14115,3.5344,30.832,
586.086,4687.37,5.98059,7.06384,7.06384,0,0.141514,0.18642,0,0,1.31733,j.jssc.2014.12.022_1-squeeze_clean,586.086,444.9044659,0.18642,0.141514,3.5344,30.832,
570.713,4662.23,5.61396,6.98489,6.98457,0,0.133426,0.17794,0,0,1.33363,j.jssc.2014.12.022_2_clean,570.713,427.9395335,0.17794,0.133426,2.7225,21.384,
567.479,4662.23,5.6341,6.97151,6.94032,0,0.133201,0.17764,0,0,1.33363,j.jssc.2014.12.022_2-squeeze_clean,567.479,425.514573,0.17764,0.133201,2.7225,21.384,
0,1249.08,2.5912,4.92234,4.92234,430.993,0,0,0.152163,0.20224,1.3291,j.jssc.2015.05.012_mmc4_clean,430.993,324.274321,0.20224,0.152163,2.7225,21.384,
186.68,2522.75,3.89642,4.45768,4.45768,0,0.107624,0.13982,0,0,1.29915,j.jssc.2015.05.012_mmc5_clean,186.68,143.6939537,0.13982,0.107624,3.5344,24.3648,
0,3083.41,3.47327,5.19284,4.97211,673.4,0,0,0.220178,0.25868,1.17487,j.jssc.2015.05.012_mmc6_clean,673.4,573.1697975,0.25868,0.220178,2.8561,25.1472,
588.375,1625.15,3.79015,5.00675,4.86504,0,0.192521,0.2524,0,0,1.31103,j.jssc.2015.06.039_mmc3_clean,588.375,448.7883572,0.2524,0.192521,3.61,24.624,
0,3422.36,3.33501,5.49096,5.47236,489.311,0,0,0.174538,0.21732,1.24511,j.jssc.2015.06.039_mmc5_clean,489.311,392.9861619,0.21732,0.174538,3.61,24.624,
641.969,2604.67,4.04151,4.71348,4.71184,0,0.204052,0.24862,0,0,1.21841,j.jssc.2016.05.021_1_clean,641.969,526.8907839,0.24862,0.204052,2.7225,21.384,
2002.13,11510.8,4.57229,11.36875,11.36875,0,0.759178,0.62828,0,0,0.827579,j.jssc.2016.06.015_ZJU-10_clean,2002.13,2419.261484,0.62828,0.759178,3.61,26.144,
265.27,5421.22,3.72203,5.0107,4.81811,267.731,0.0956258,0.10804,0.0951125,0.10746,1.12982,j.jssc.2016.06.017_1_clean,533.001,471.7574481,0.2155,0.1907383,2.7225,21.384,
0,1913.99,3.05023,4.60903,4.59626,162.955,0,0,0.084843,0.14002,1.65034,j.jssc.2016.09.008_mmc7_clean,162.955,98.74025958,0.14002,0.084843,2.8561,28.392,
297.113,1837.7,3.77657,4.48976,4.48976,15.2023,0.105207,0.1717,0.0218379,0.03564,1.63203,j.jssc.2016.09.008_mmc8_clean,312.3153,191.3661514,0.20734,0.1270449,2.8561,28.392,
0,827.142,2.72277,4.14099,4.14099,153.405,0,0,0.0991835,0.15534,1.56619,j.jssc.2016.09.009_mmc4_clean,153.405,97.94788627,0.15534,0.0991835,1.21,15.136,
0,832.325,3.09313,4.81565,4.81565,213.88,0,0,0.0673736,0.1375,2.04086,j.jssc.2016.09.025_cif-3_clean,213.88,104.7989573,0.1375,0.0673736,5.4289,16.0304,
0,8749.54,3.61077,5.87191,5.83094,705.726,0,0,0.237968,0.26712,1.1225,j.jssc.2016.10.008_Gd_clean,705.726,628.7091314,0.26712,0.237968,1.44,12.384,
769.308,9078.18,3.81132,6.0927,5.65916,78.6852,0.247369,0.2643,0.0368199,0.03934,1.06844,j.jssc.2016.10.008_La_clean,847.9932,793.6741417,0.30364,0.2841889,1.21,11.352,
0,8846.03,3.65823,5.93387,5.82259,739.924,0,0,0.254297,0.28102,1.10508,j.jssc.2016.10.008_Sm_clean,739.924,669.5660043,0.28102,0.254297,1.3689,12.0744,
0,8789.71,3.66343,5.8722,5.8722,716.663,0,0,0.24301,0.27184,1.11864,j.jssc.2016.10.008_Tb_clean,716.663,640.6556175,0.27184,0.24301,1.21,11.352,
0,1590.79,3.15018,4.20612,4.18075,107.284,0,0,0.109404,0.12474,1.14018,j.jssc.2016.10.030_1_clean,107.284,94.093915,0.12474,0.109404,3.61,11.552,
0,1632.17,3.44947,4.91644,4.91644,356.638,0,0,0.147327,0.16372,1.11127,j.jssc.2016.10.030_2_clean,356.638,320.9283073,0.16372,0.147327,3.61,23.104,
787.389,380.407,3.86765,4.67566,4.67566,0,0.214471,0.32866,0,0,1.53242,j.jtice.2016.08.030_Imogolite_clean,787.389,513.8206236,0.32866,0.214471,2.5921,33.2304,
0,798.6,2.42814,4.3561,4.3561,77.1881,0,0,0.0611264,0.0866,1.41674,j.matlet.2016.01.080_mmc1_clean,77.1881,54.48289736,0.0866,0.0611264,2.7225,27.72,
0,4834.13,3.2182,4.31246,4.31088,120.463,0,0,0.126621,0.1292,1.02037,JOCLOD_clean,120.463,118.0581554,0.1292,0.126621,3.5344,22.8608,
1732.68,9443.84,5.51402,13.89765,13.88466,0,0.74127,0.61096,0,0,0.824207,JOCWIJ_clean,1732.68,2102.238879,0.61096,0.74127,3.61,24.624,
0,2432.32,2.84828,4.14327,4.0524,60.2905,0,0,0.0380879,0.0824,2.16342,JODGEP_clean,60.2905,27.86814396,0.0824,0.0380879,2.2284,22.096,
400.076,2921.81,4.66172,5.75292,5.55476,153.803,0.10581,0.13636,0.0496148,0.06394,1.28873,JOFGOC_clean,553.879,429.7866892,0.2003,0.1554248,2.8561,21.9024,
903.771,1196.59,5.13094,6.957,6.957,0,0.195622,0.30886,0,0,1.57886,JOFKIA_clean,903.771,572.4199739,0.30886,0.195622,3.61,23.864,
0,1342.38,2.70306,4.99322,4.97739,108.182,0,0,0.0355248,0.0742,2.08868,JOGBIR_clean,108.182,51.79443476,0.0742,0.0355248,3.61,22.61,
859.295,1677.24,3.83843,4.7279,4.63744,0,0.343295,0.35366,0,0,1.03019,JOGHIY_clean,859.295,834.1131248,0.35366,0.343295,3.5344,24.3648,
1985.71,5303.54,9.4474,12.97631,12.86758,0,1.88214,0.79196,0,0,0.420776,JOGSAA_clean,1985.71,4719.161739,0.79196,1.88214,3.6481,30.56,
1348.95,1514.66,6.3958,6.80122,6.80122,0,0.359932,0.46724,0,0,1.29813,JOHFIW_manual,1348.95,1039.148621,0.46724,0.359932,1.4884,25.1808,
482.342,1787.11,3.94987,5.10814,5.09674,0,0.106777,0.20336,0,0,1.90453,JOHQUT_clean,482.342,253.2603845,0.20336,0.106777,1.2769,31.0976,
0,1091.65,2.86104,5.03424,5.03424,507.087,0,0,0.135005,0.26428,1.95756,JOKWOV_clean,507.087,259.0403359,0.26428,0.135005,2.7225,19.866,
496.369,2895.52,3.99704,4.67354,4.67354,0,0.132801,0.20668,0,0,1.55632,JOKXAI10_clean,496.369,318.9376221,0.20668,0.132801,3.2521,25.1538,
496.396,2900.95,4.00596,4.68166,4.68147,0,0.132766,0.20624,0,0,1.55341,JOKXAI_clean,496.396,319.5524684,0.20624,0.132766,3.2521,25.1538,
478.505,2863.84,3.94576,4.65592,4.65486,0,0.126798,0.19952,0,0,1.57353,JOKXEM10_clean,478.505,304.0965218,0.19952,0.126798,3.2521,25.1538,
478.162,2863.84,3.9457,4.6554,4.65434,0,0.126772,0.19948,0,0,1.57353,JOKXEM_clean,478.162,303.8785406,0.19948,0.126772,3.2521,25.1538,
483.242,2861.34,3.95436,4.65545,4.6545,0,0.127144,0.20024,0,0,1.5749,JOKXOW10_clean,483.242,306.8397994,0.20024,0.127144,3.2521,25.1538,
482.274,2861.34,3.95436,4.65344,4.65249,0,0.127093,0.20016,0,0,1.5749,JOKXOW_clean,482.274,306.2251572,0.20016,0.127093,3.2521,25.1538,
447.031,2860.13,3.87167,4.62045,4.62045,0,0.126519,0.19934,0,0,1.57557,JOKXUC10_clean,447.031,283.7265244,0.19934,0.126519,3.2521,25.1538,
407.356,2860.13,3.93734,4.54485,4.54439,0,0.118928,0.18738,0,0,1.57557,JOKXUC_clean,407.356,258.5451614,0.18738,0.118928,3.2521,25.1538,
465.697,2902.01,3.80682,4.98975,4.92018,0,0.136589,0.2121,0,0,1.55283,JOKYAJ_clean,465.697,299.9021142,0.2121,0.136589,3.2521,25.1538,
474.512,2914.26,3.84468,5.04569,4.80961,0,0.135096,0.2089,0,0,1.54631,JOKYEN_clean,474.512,306.8673164,0.2089,0.135096,3.2521,25.1538,
443.644,2894.14,3.76275,5.00078,4.99703,0,0.129218,0.2012,0,0,1.55706,JOKYIR10_clean,443.644,284.9241519,0.2012,0.129218,3.2521,25.1538,
443.644,2894.14,3.76275,5.00078,4.99703,0,0.129218,0.2012,0,0,1.55706,JOKYIR_clean,443.644,284.9241519,0.2012,0.129218,3.2521,25.1538,
0,2867.34,3.69875,4.99892,4.99892,409.488,0,0,0.124471,0.19562,1.57161,JOKYOX_clean,409.488,260.5531907,0.19562,0.124471,3.2521,25.1538,
0,103871,0,0,0,962.86,0,0,0.195593,0.23974,1.22571,JONKEE_clean,962.86,785.5528632,0.23974,0.195593,3.61,23.104,
0,5677.84,3.28798,5.51252,5.50625,483.812,0,0,0.131335,0.19298,1.46937,JOPWUI_clean,483.812,329.2649231,0.19298,0.131335,2.8561,26.1612,
1121.55,3184.96,3.79733,5.78583,5.78464,0,0.271192,0.36684,0,0,1.35269,JOQSIT_clean,1121.55,829.1256681,0.36684,0.271192,3.61,14.44,
1420.64,3351.68,4.1274,6.10079,6.09895,0,0.359093,0.41636,0,0,1.15948,JOQSOZ_clean,1420.64,1225.2389,0.41636,0.359093,3.61,15.40266667,
832.248,1937.7,5.15937,5.68246,5.6766,0,0.207851,0.29494,0,0,1.419,JOQZUM_clean,832.248,586.5031712,0.29494,0.207851,3.156866667,27.25333333,
857.167,1933.36,5.15328,5.6025,5.59565,0,0.171433,0.29558,0,0,1.72417,JORBAV_clean,857.167,497.1476131,0.29558,0.171433,3.4582,28.61333333,
581.728,5524.06,4.47146,4.97926,4.91948,0,0.173105,0.2033,0,0,1.17443,JORQIS_clean,581.728,495.3279463,0.2033,0.173105,3.7249,17.6016,
1229.85,9794.49,4.37137,6.90146,6.90002,0,0.367036,0.36692,0,0,0.999683,JORRAL_clean,1229.85,1230.239986,0.36692,0.367036,2.8561,21.9024,
0,3746.23,3.55075,4.96868,4.83088,472.178,0,0,0.175764,0.2516,1.43147,JORSEQ_clean,472.178,329.8553235,0.2516,0.175764,2.8561,21.2264,
1736.39,10747.7,4.72909,10.62231,10.62231,0,0.622339,0.52278,0,0,0.840025,JORVET_clean,1736.39,2067.069432,0.52278,0.622339,2.7225,19.492,
0,793.4,3.48794,4.34391,4.33353,142.108,0,0,0.101602,0.15102,1.48639,JOSNAG01_clean,142.108,95.60613298,0.15102,0.101602,1.21,26.488,
0,789.523,3.47722,4.31831,4.26587,125.081,0,0,0.111817,0.16702,1.49368,JOSNAG_clean,125.081,83.74015853,0.16702,0.111817,1.21,26.488,
0,1668.25,2.44746,4.42427,4.40318,392.996,0,0,0.138925,0.18954,1.36433,JOSQEN_clean,392.996,288.050545,0.18954,0.138925,2.8561,25.688,
0,8533.44,2.53927,7.28051,7.28042,962.153,0,0,0.24632,0.35238,1.43058,JOSTIU_clean,962.153,672.5614786,0.35238,0.24632,1.2996,19.152,
0,1845.38,3.03624,4.79644,4.79644,583.933,0,0,0.479731,0.3833,0.798989,JOVROD_clean,583.933,730.8398489,0.3833,0.479731,2.2474,18.8508,
0,1589.37,3.14601,4.43266,4.43262,163.443,0,0,0.0789214,0.16358,2.07269,JOVWOI_clean,163.443,78.85549696,0.16358,0.0789214,2.754271429,27.54948571,
676.714,1536.77,3.73021,4.48882,4.48882,0,0.274874,0.31334,0,0,1.13994,JOVXEZ_clean,676.714,593.6400161,0.31334,0.274874,3.61,24.624,
0,1127.37,3.52862,4.37224,4.37224,467.747,0,0,0.193732,0.25586,1.32069,JOVYAW_clean,467.747,354.1686543,0.25586,0.193732,2.7225,22.704,
2059.47,1839.71,6.2746,6.87554,6.85501,0,0.611562,0.61872,0,0,1.0117,JOWFOQ_clean,2059.47,2035.652862,0.61872,0.611562,3.61,20.596,
1448.36,754.771,7.0978,7.50467,7.502,0,0.494285,0.50482,0,0,1.02131,jp102463p_si_002_clean,1448.36,1418.139448,0.50482,0.494285,2.7556,34.2624,
